Rate Change,FFS & Other,Loans *,Loan Loss Reserve,Securities (Fair Value),Non-Earning Assets,Assets (EV),Non-Int Bearing Chkg,Int Bearing Chkg,MMDA,Savings,CDs,FFP and Repos,Other Borrowings,Non - Paying Liabs,Liabilities (EV),EV Equity,EVE Risk (% Change)
-400bp,109030,691640,-9168,35636,57545,884683,149961,169906,5729,84520,328809,0,15876,10757,765557,119126,-16.87
-300bp,108384,682238,-9168,33690,57545,872690,143822,163061,5495,81071,326421,0,15782,10757,746408,126282,-11.87
-200bp,107739,673040,-9168,31735,57545,860892,138025,156594,5274,77815,324088,0,15688,10757,728241,132651,-7.43
-100bp,107094,664038,-9168,29771,57545,849280,132542,150476,5066,74735,321808,0,15594,10757,710978,138303,-3.49
Current,106449,655221,-9168,27797,57545,837844,127348,144677,4868,71817,319579,0,15500,10757,694547,143297,0.0
+100bp,105804,646564,-9168,25790,57545,826534,122438,139370,4683,69088,317400,0,15406,10757,679142,147393,2.86
+200bp,105159,638165,-9168,23780,57545,815480,117788,134342,4508,66503,315268,0,15312,10757,664477,151003,5.38
+300bp,104514,630058,-9168,21771,57545,804719,113377,129570,4342,64054,313182,0,15218,10757,650499,154221,7.62
+400bp,103868,622239,-9168,19762,57545,794246,109201,125050,4184,61732,311140,0,15124,10757,637187,157059,9.6
