Rate Change Immediate,-400bp,-300bp,-200bp,-100bp,Current,100bp,200bp,300bp,400bp
"FFS, Repos & Bank CD"," 2,579 "," 2,912 "," 3,246 "," 3,579 "," 3,913 "," 4,246 "," 4,579 "," 4,913 "," 5,246 "
Loans *," 44,413 "," 46,805 "," 49,162 "," 51,483 "," 53,768 "," 56,027 "," 58,273 "," 60,525 "," 62,778 "
Securities (Tax Eqv.), 842 , 848 , 867 , 884 , 901 , 910 , 922 , 933 , 944 
Total Interest Income," 47,833 "," 50,566 "," 53,275 "," 55,946 "," 58,581 "," 61,184 "," 63,774 "," 66,371 "," 68,968 "
Interest Bearing Checking," 2,479 "," 2,479 "," 2,479 "," 2,479 "," 2,479 "," 2,530 "," 2,581 "," 2,632 "," 2,683 "
MMDA, 15 , 15 , 15 , 15 , 15 , 15 , 16 , 16 , 17 
Savings, 219 , 219 , 219 , 219 , 219 , 228 , 236 , 245 , 253 
CDs," 9,724 "," 10,759 "," 11,794 "," 12,829 "," 13,864 "," 14,899 "," 15,934 "," 16,969 "," 18,004 "
Fed Funds & Borrowings, 484 , 542 , 600 , 658 , 716 , 774 , 832 , 890 , 949 
Total Costs of Funds," 12,921 "," 14,014 "," 15,107 "," 16,200 "," 17,293 "," 18,447 "," 19,600 "," 20,753 "," 21,906 "
Net Interest Income," 34,913 "," 36,552 "," 38,168 "," 39,746 "," 41,288 "," 42,737 "," 44,174 "," 45,618 "," 47,062 "
Actual Dollar Risk,"-6,375","-4,735","-3,120","-1,541",," 1,450 "," 2,886 "," 4,331 "," 5,775 "
Percent of Risk,-15.44,-11.47,-7.56,-3.73,, 3.51 , 6.99 , 10.49 , 13.99 
Percent of Avg. Assets,-0.74,-0.55,-0.36,-0.18,, 0.17 , 0.33 , 0.50 , 0.67 
